               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  31,            0.086567,            0.016286,           0.0016453,             0.18253,             0.53697,             0.48198,             0.40525,             0.12216,            0.075682,            0.014307,           0.0023773,             0.17182,           0.0099822,           0.0099822,           0.0099822
                  32,             0.08973,            0.016277,           0.0018277,             0.18126,             0.59851,             0.62731,              0.6339,             0.27169,            0.082864,             0.01331,           0.0021575,             0.16828,            0.009981,            0.009981,            0.009981
                  33,            0.085853,            0.016445,           0.0019397,             0.17964,             0.60955,             0.68526,             0.62119,             0.28132,             0.07741,            0.013903,           0.0023893,             0.16824,           0.0099798,           0.0099798,           0.0099798
                  34,            0.083446,            0.015737,           0.0019436,             0.17951,             0.71438,             0.69099,             0.72233,             0.31526,            0.075165,            0.014268,           0.0024195,             0.16278,           0.0099785,           0.0099785,           0.0099785
                  35,            0.084235,            0.015615,           0.0016088,             0.17904,             0.80393,             0.62991,             0.70676,             0.28704,            0.077813,            0.013561,           0.0017707,             0.16329,           0.0099772,           0.0099772,           0.0099772
                  36,            0.081968,            0.015933,           0.0012692,             0.17793,             0.83176,             0.60433,             0.69024,             0.32447,            0.070193,            0.013749,           0.0019321,             0.16534,           0.0099758,           0.0099758,           0.0099758
                  37,            0.081651,            0.016105,           0.0013963,             0.17681,             0.71832,             0.62989,                0.65,             0.24395,            0.071328,            0.013537,           0.0026608,             0.16348,           0.0099744,           0.0099744,           0.0099744
                  38,            0.080135,            0.017071,            0.001708,             0.17572,             0.78062,              0.6532,              0.7093,             0.32517,            0.073669,            0.014386,           0.0026484,              0.1609,            0.009973,            0.009973,            0.009973
                  39,            0.077684,            0.016513,           0.0014891,             0.17653,             0.80815,             0.75098,             0.76805,             0.38481,            0.070992,            0.014195,           0.0021317,             0.16258,           0.0099715,           0.0099715,           0.0099715
                  40,            0.077122,            0.015802,           0.0016365,             0.17543,             0.77061,              0.6843,             0.74389,             0.32905,            0.070988,            0.014436,           0.0016661,             0.16066,             0.00997,             0.00997,             0.00997
                  41,            0.076395,            0.017373,           0.0012524,             0.17541,             0.69875,             0.64982,             0.61441,             0.22204,            0.069936,            0.014811,           0.0015147,             0.15841,           0.0099685,           0.0099685,           0.0099685
                  42,             0.08441,            0.015286,           0.0014749,             0.17355,             0.79729,             0.75437,             0.77798,             0.34783,            0.073129,            0.013936,           0.0021489,              0.1555,           0.0099669,           0.0099669,           0.0099669
                  43,            0.077278,            0.015963,           0.0014617,              0.1733,             0.79663,              0.6602,             0.72761,             0.42203,            0.073305,            0.016014,           0.0025841,             0.15575,           0.0099652,           0.0099652,           0.0099652
                  44,            0.074543,            0.017791,           0.0016245,             0.17453,             0.78826,             0.63329,             0.67761,             0.29948,            0.070578,            0.013962,            0.003012,             0.15886,           0.0099636,           0.0099636,           0.0099636
